Power,ARROW_DAMAGE,Bow,,,,,,,,,,,
Flame,ARROW_FIRE,Bow,,,,,,,,,,,
Infinite,ARROW_INFINITE,Bow,,,,,,,,,,,
Arrow Knockback,ARROW_KNOCKBACK,Bow,,,,,,,,,,,
Sharpness,DAMAGE_ALL,Sword,Axe,,,,,,,,,,
Bane of the Anthropods,DAMAGE_ARTHROPODS,Sword,Axe,,,,,,,,,,
Smite,DAMAGE_UNDEAD,Sword,Axe,,,,,,,,,,
Efficiency,DIG_SPEED,Pick,Shovel,Axe,Shears,,,,,,,,
Unbreaking,DURABILITY,Helmet,Chest,Leggings,Boots,Sword,Axe,Bow,Pick,Shovel,Axe,Shears,Hoe
Fire Aspect,FIRE_ASPECT,Sword,Axe,,,,,,,,,,
Knockback,KNOCKBACK,Sword,Axe,,,,,,,,,,
Fortune,LOOT_BONUS_BLOCKS,Pick,Shovel,Axe,,,,,,,,,
Looting,LOOT_BONUS_MOBS,Sword,Axe,,,,,,,,,,
Respiration,OXYGEN,Helmet,,,,,,,,,,,
Protection,PROTECTION_ENVIRONMENTAL,Helmet,Chest,Leggings,Boots,,,,,,,,
Blast Protection,PROTECTION_EXPLOSIONS,Helmet,Chest,Leggings,Boots,,,,,,,,
Feather Falling,PROTECTION_FALL,Boots,,,,,,,,,,,
Fire Protection,PROTECTION_FIRE,Helmet,Chest,Leggings,Boots,,,,,,,,
Projectile Protection,PROTECTION_PROJECTILE,Helmet,Chest,Leggings,Boots,,,,,,,,
Silk Touch,SILK_TOUCH,Pick,Shovel,Axe,Shears,,,,,,,,
Thorns,THORNS,Helmet,Chest,Leggings,Boots,,,,,,,,
Aqua Affinity,WATER_WORKER,Helmet,,,,,,,,,,,
